JNR	DYRNR	MATR	BAKTFUND	DYREART	PRV_DATO	CHR_NR	AKTVNR	SEKTION	EPINR	SYSBEM	ANALYSE	region
A2764019	1	772	cjej	81	08JUN1999:00:00:00	10218	5133	1fj	1			R6
A2764020	1	772	cjej	81	09JUN1999:00:00:00	10268	5133	1fj	1			R2
A2764023	1	772	cjej	81	10JUN1999:00:00:00	10117	5133	1fj	3			R6
A2764029	1	772	cjej	81	08JUN1999:00:00:00	10239	5133	1fj	1			R6
A2764036	1	772	cjej	81	10JUN1999:00:00:00	10387	5133	1fj	1			R1
A2764037	1	772	cjej	81	10JUN1999:00:00:00	10119	5133	1fj	3			R2
A2764038	1	772	cjej	81	08JUN1999:00:00:00	10491	5133	1fj	2			NA
A2764039	1	772	cjej	81	08JUN1999:00:00:00	10491	5133	1fj	1			NA
A2764040	1	772	cjej	81	09JUN1999:00:00:00	10491	5133	1fj	2			NA
A2764041	1	772	cjej	81	10JUN1999:00:00:00	10467	5133	1fj	1			NA
A2764048	1	772	cjej	81	09JUN1999:00:00:00	10548	5133	1fj	5			R2
A2764053	1	772	cjej	81	10JUN1999:00:00:00	10031	5133	1fj	6			R3
A2764054	1	772	cjej	81	10JUN1999:00:00:00	10031	5133	1fj	4			R3
A2764055	1	772	cjej	81	10JUN1999:00:00:00	10175	5133	1fj	2			R2
A2764056	1	772	cjej	81	10JUN1999:00:00:00	10175	5133	1fj	1			R2
A2764057	1	772	cjej	81	08JUN1999:00:00:00	10244	5133	1fj	5			R4
A2764058	1	772	cjej	81	08JUN1999:00:00:00	10244	5133	1fj	4			R4
A2764059	1	772	cjej	81	08JUN1999:00:00:00	10244	5133	1fj	3			R4
A2764013	1	772	cjej	81	09JUN1999:00:00:00	10222	5133	1fj	42			R2
A2763764	1	772	cjej	84	04JUN1999:00:00:00	10222	5133	1fj	NA			R2
A2763765	1	772	cjej	84	03JUN1999:00:00:00	10193	5133	1fj	NA			R7
A2763766	1	772	cjej	81	04JUN1999:00:00:00	10236	5133	1fj	1			NA
A2763767	1	772	cjej	81	04JUN1999:00:00:00	10236	5133	1fj	2			NA
A2763773	1	772	cjej	81	04JUN1999:00:00:00	10609	5133	1fj	2			R2
A2763776	1	772	cjej	81	07JUN1999:00:00:00	10009	5133	1fj	3			R3
A2763777	1	772	cjej	81	07JUN1999:00:00:00	10009	5133	1fj	4			R3
A2763778	1	772	cjej	81	04JUN1999:00:00:00	10491	5133	1fj	1			NA
A2763779	1	772	cjej	81	07JUN1999:00:00:00	10491	5133	1fj	2			NA
A2763938	1	772	cjej	81	03JUN1999:00:00:00	10609	5133	1fj	1			R2
A2763939	1	772	cjej	81	04JUN1999:00:00:00	10609	5133	1fj	4			R2
A2763940	1	772	cjej	81	04JUN1999:00:00:00	10609	5133	1fj	2			R2
A2763996	1	772	cjej	81	09JUN1999:00:00:00	10094	5133	1fj	4			R7
A2763997	1	772	cjej	81	09JUN1999:00:00:00	10094	5133	1fj	3			R7
A2763998	1	772	cjej	81	10JUN1999:00:00:00	10094	5133	1fj	2			R7
A2764000	1	772	cjej	84	08JUN1999:00:00:00	10120	5133	1fj	NA			R3
A2764001	1	772	cjej	84	10JUN1999:00:00:00	10193	5133	1fj	NA			R7
A2764002	1	772	cjej	81	08JUN1999:00:00:00	10619	5133	1fj	3			R5
A2764003	1	772	cjej	81	08JUN1999:00:00:00	10619	5133	1fj	2			R5
A2764004	1	772	cjej	81	08JUN1999:00:00:00	10619	5133	1fj	1			R5
A2764008	1	772	cjej	81	08JUN1999:00:00:00	10009	5133	1fj	2			R3
A2764009	1	772	cjej	81	08JUN1999:00:00:00	10009	5133	1fj	1			R3
A2764011	1	772	cjej	81	08JUN1999:00:00:00	10505	5133	1fj	3			NA
A2763762	1	772	cjej	81	07JUN1999:00:00:00	10264	5133	1fj	NA			R2
A2763633	1	772	cjej	81	02JUN1999:00:00:00	10537	5133	1fj	1			R4
A2763634	1	772	cjej	81	02JUN1999:00:00:00	10537	5133	1fj	2			R4
A2763635	1	772	cjej	81	01JUN1999:00:00:00	10127	5133	1fj	4			R4
A2763636	1	772	cjej	81	01JUN1999:00:00:00	10127	5133	1fj	5			R4
A2763637	1	772	cjej	81	01JUN1999:00:00:00	10532	5133	1fj	1			R4
A2763638	1	772	cjej	81	01JUN1999:00:00:00	10532	5133	1fj	2			R4
A2763727	1	772	cjej	81	07JUN1999:00:00:00	10169	5133	1fj	1			R4
A2763728	1	772	cjej	81	07JUN1999:00:00:00	10169	5133	1fj	2			R4
A2763729	1	772	cjej	81	07JUN1999:00:00:00	10246	5133	1fj	1			R3
