Materialeart,Chrnr,Epinr,Provedato,Modtag.Dato,Jnr,Provenr,Tolkning,region
Kloaksvaber,10241,1,07/06/05,07/12/05,C1498,1,NEGATIV,NA
Kloaksvaber,10244,5,07/06/05,07/08/05,C1462,1,POSITIV,R4
Kloaksvaber,10244,2,07/06/05,07/07/05,C1453,1,NEGATIV,R4
Kloaksvaber,10501,9,07/06/05,07/07/05,C1449,1,POSITIV,NA
Kloaksvaber,10377,1,07/06/05,07/12/05,C1497,1,POSITIV,R5
Kloaksvaber,10241,4,07/06/05,07/08/05,C1459,1,NEGATIV,NA
Kloaksvaber,10200,1,07/06/05,07/08/05,C1456,1,NEGATIV,R2
Kloaksvaber,10241,3,07/07/05,07/12/05,C1500,1,NEGATIV,NA
Kloaksvaber,10295,2,07/07/05,07/08/05,C1461,1,POSITIV,R7
Kloaksvaber,10535,1,07/07/05,07/08/05,C1466,1,POSITIV,R1
Kloaksvaber,10535,1,07/07/05,07/12/05,C1496,1,POSITIV,R1
Kloaksvaber,10295,1,07/07/05,07/08/05,C1460,1,POSITIV,R7
Kloaksvaber,10244,4,07/07/05,07/08/05,C1468,1,POSITIV,R4
Kloaksvaber,10244,5,07/07/05,07/08/05,C1469,1,POSITIV,R4
Kloaksvaber,10244,3,07/07/05,07/08/05,C1467,1,POSITIV,R4
Kloaksvaber,10572,1,07/07/05,07/08/05,C1458,1,POSITIV,R3
Kloaksvaber,10295,2,07/07/05,07/08/05,C1465,1,POSITIV,R7
Kloaksvaber,10244,6,07/07/05,07/08/05,C1470,1,POSITIV,R4
Kloaksvaber,10241,2,07/07/05,07/12/05,C1499,1,NEGATIV,NA
Kloaksvaber,10438,2,07/08/05,07/12/05,C1476,1,NEGATIV,R3
Kloaksvaber,10178,3,07/08/05,07/12/05,C1474,1,POSITIV,NA
Kloaksvaber,10529,1,07/08/05,07/12/05,C1480,1,NEGATIV,R7
Kloaksvaber,10438,1,07/08/05,07/12/05,C1475,1,NEGATIV,R3
Kloaksvaber,10562,2,07/08/05,07/12/05,C1482,1,POSITIV,R8
Kloaksvaber,10246,4,07/08/05,07/12/05,C1492,1,POSITIV,R3
Kloaksvaber,10535,1,07/08/05,07/12/05,C1484,1,POSITIV,R1
Kloaksvaber,10438,3,07/08/05,07/12/05,C1477,1,NEGATIV,R3
Kloaksvaber,10632,1,07/08/05,07/12/05,C1483,1,NEGATIV,R6
Kloaksvaber,10246,2,07/08/05,07/12/05,C1491,1,POSITIV,R3
Kloaksvaber,10246,1,07/08/05,07/12/05,C1490,1,POSITIV,R3
Kloaksvaber,10156,5,07/11/05,07/12/05,C1489,1,NEGATIV,NA
Kloaksvaber,10384,1,07/11/05,07/19/05,C46,1,POSITIV,R1
Kloaksvaber,10178,2,07/11/05,07/12/05,C1473,1,POSITIV,NA
Kloaksvaber,10246,4,07/11/05,07/12/05,C1493,1,POSITIV,R3
